Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.eVar15,Store Locator: Search Term,Store Locator: Search Term,Store Locator: Search Term,Store Locator: Search Term,Store Locator: Search Term,,
s.eVar16,Appointment Scheduler: Multiple Bookings,Appointment Scheduler: Multiple Bookings,Appointment Scheduler: Multiple Bookings,,Appointment Scheduler: Multiple Bookings,,
s.eVar17,Promo Codes,Promo Codes,Promo Codes,Promo Codes,Promo Codes,,
s.eVar18,Social Interactions,Social Interactions,Social Interactions,Social Interactions,Social Interactions,,
s.eVar19,Report Suite,Report Suite,Report Suite,Report Suite,Report Suite,,
s.eVar20,,Onsite Search: Keyword,Onsite Search: Keyword,Onsite Search: Keyword,Onsite Search: Keyword,,
s.eVar21,,,Previous Page Name,Previous Page Name,Previous Page Name,,
s.eVar22,,,Onsite Search: # of Results,Onsite Search: # of Results,Onsite Search: # of Results,,
s.eVar23,,Product Refinement: Sort,Product Refinement: Sort,Product Refinement: Sort,Product Refinement: Sort,,
s.eVar24,,Product Refinement: Narrow,Product Refinement: Narrow,Product Refinement: Narrow,Product Refinement: Narrow,,
s.eVar25,,Checkout Type,Checkout Type,Checkout Type,Checkout Type,,
s.eVar26,,,Wishlist: Product,Wishlist: Product,Wishlist: Product,,
s.eVar27,,Product Finding Method,Product Finding Method,Product Finding Method,Product Finding Method,,
s.eVar28,,Payment Method,Payment Method,Payment Method,Payment Method,,
s.eVar29,,Shipping Method,Shipping Method,Shipping Method,Shipping Method,,
s.eVar30,,Email: Subscription Type,Link Clicks,Email: Subscription Type,Link Clicks,,
s.eVar31,,Parent SKU,Parent SKU,Parent SKU,Parent SKU,,
s.eVar32,,,,CRM - Customer ID,,,
s.eVar33,,,,,,,
s.eVar34,,,,,,,
s.eVar35,,,,,,,
s.eVar36,,,,,,,
s.eVar37,,,,,,,
s.eVar38,,,,,,,
s.eVar39,,,,,,,
s.eVar40,Appointment Scheduler: Local/National,,FAQ: Search Term,Virtual Try-On: Product,Click Action,,
s.eVar41,,Trial Pack: Pack Selected,FAQ: Search Results (#),Registration: Gender,Product List Page Results Count,,
s.eVar42,,Product: Lens Strength,Brand,,User Feature,,
s.eVar43,,Checkout: Prescription Given,Internal Search Filter (Stacked),ISG: Step Skipped,User Feature Descriptor,,
s.eVar44,,,Form Error,ISG: Selected Steps,Brand,,
s.eVar45,,,Days in Advance+Time of Day,Shopping Cart: A/B Test,Customer Lead Type,,
s.eVar46,,,Lens Type,Store Locator: Brand Selected,Customer Lead Level,,
s.eVar47,,,Shopping Tool Uses,,Customer Lead ID,,
s.eVar48,,,Eye Exam ID,Add to Cart Location,Eye Exam ID,,
s.eVar49,,,Product Refinement: Narrow (stacked),Alternate Product View,ID of Preferred Store,,
s.eVar50,,,,Google Search Rank,Registration Status,,
s.eVar51,,Prior Orders,myAccount Perk Offer,Prior Orders,Offer ID,,
s.eVar52,,Order ID,FYL Value,Order ID,,,
s.eVar53,,,myAccount Perk Count,Brand,myAccount Perk Count,,
s.eVar54,,,myAccount Perk Offers Viewed,Product Merchandising Category,myAccount Perk Offers Viewed,,
s.eVar55,,,,Item Printed,User Provided ZIP,,
s.eVar56,,,,PDP Video,Store ID,,
s.eVar57,,,,PDP Zoom,Store Locator Result Count,,
s.eVar58,,,,Campaign Channel (First Touch),Eye Exams Available,,
s.eVar59,,,,Campaign Channel (Stacked),Online Scheduling Option,,
s.eVar60,,,Product Comparison List,Campaign (Stacked),Product Comparison List,,
s.eVar61,,,Site Navigation Item,,Site Navigation Item,,
s.eVar62,Store Page Link,,Filter Stack,,Filter Stack,,
s.eVar63,,,Modal ID,,Modal ID,,
s.eVar64,,,Adobe Visitor ID,,Adobe Visitor ID,,
s.eVar65,,,OL Survey Data,,OL Survey Data,,
s.eVar66,,,,,,,
s.eVar67,,,,,,,
s.eVar68,,,,,,,
s.eVar69,,,,,,,
s.eVar70,,,,,,,
s.eVar71,,,,,,,
s.eVar72,,,,,,,
s.eVar73,,,,,,,
s.eVar74,,,Number Frames Shared,,,,
s.eVar75,,,CountryModal,,,,
,,,,,,,
s.state,,,,,,,
s.zip,,,,,,,
,,,,,,,
