Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,Sears Optical,
s.eVar2,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar3,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar4,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar5,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar6,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar7,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar8,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar9,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar10,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar11,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar12,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar13,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar14,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar15,Store Locator Search Results Page,Store Locator Search Results Page,Store Locator Search Results Page,Store Locator Search Results Page,Store Locator Search Results Page,,,
s.eVar16,Scheduler confirmation page,Scheduler confirmation page,Scheduler confirmation page,,Scheduler confirmation page,,,
s.eVar17,,On order confirmation page,On order confirmation page,On order confirmation page,On order confirmation page,,,
s.eVar18,OnClick to social interactions,OnClick to social interactions,OnClick to social interactions,OnClick to social interactions,OnClick to social interactions,,,
s.eVar19,All Pages,All Pages,All Pages,All Pages,All Pages,,,
s.eVar20,,On search results page,On search results page,On search results page,On search results page,,,
s.eVar21,,,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar22,,,On search results page,On search results page,On search results page,,,
s.eVar23,,On page load after refinement,On page load after refinement,On page load after refinement,On page load after refinement,,,
s.eVar24,,On page load after refinement,On page load after refinement,On page load after refinement,On page load after refinement,,,
s.eVar25,,On order confirmation page,On order confirmation page,On order confirmation page,On order confirmation page,,,
s.eVar26,,,OnClick of 'add to wishlist',OnClick of 'add to wishlist',OnClick of 'add to wishlist',,,
s.eVar27,,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,Automatically set in the s_code,,,
s.eVar28,,On order confirmation page,On order confirmation page,On order confirmation page,On order confirmation page,,,
s.eVar29,,On order confirmation page,On order confirmation page,On order confirmation page,On order confirmation page,,,
s.eVar30,,On email subscription confirmation page,,On email subscription confirmation page,Link clicks,,,
s.eVar31,,On product detail pages,On product detail pages,On product detail pages,On product detail pages,,,
s.eVar32,,,,On order confirmation page,,,,
s.eVar33,,,,,,,,
s.eVar34,,,,,,,,
s.eVar35,,,,,,,,
s.eVar36,,,,,,,,
s.eVar37,,,,,,,,
s.eVar38,,,,,,,,
s.eVar39,,,,,,,,
s.eVar40,Step 1 of the Eye Exam,,On search results page,On launch of the tool,click actions,,,
s.eVar41,,On first product added to trial pack,On search results page,On registration confirmation page,On PLP pages,,,
s.eVar42,,On lens strength entered,On PDP pages,,site feature usage,,,
s.eVar43,,On order confirmation page,On search results page,On next page load,site feature usage,,,
s.eVar44,,,Automatically set in the s_code,On next page load,,,,
s.eVar45,,,On scheduler results page,All Pages,lead submissions,,,
s.eVar46,,,On PDP pages,On next page load,lead submissions,,,
s.eVar47,,,On PDP pages,,lead submissions,,,
s.eVar48,,,On Confirmation page,,On Confirmation page,,,
s.eVar49,,,On PDP pages,,When preferred store is set,,,
s.eVar50,,,,,All Pages,,,
s.eVar51,,On purchase confirmation page,,On purchase confirmation page,Pages & links with offers,,,
s.eVar52,,,,,,,,
s.eVar53,,,,,,,,
s.eVar54,,,,,,,,
s.eVar55,,,,,,,,
s.eVar56,,,,,when a specific store location is shown or clicked,,,
s.eVar57,,,,,,,,
s.eVar58,,,,,,,,
s.eVar59,,,,,,,,
s.eVar60,,,,,On product compare page load,,,
s.eVar61,,,On site navigation clicks,,On site navigation clicks,,,
s.eVar62,,,,,,,,
s.eVar63,,,,,,,,
s.eVar64,,,,,,,,
s.eVar65,,,,,,,,
s.eVar66,,,,,,,,
s.eVar67,,,,,,,,
s.eVar68,,,,,,,,
s.eVar69,,,,,,,,
s.eVar70,,,,,,,,
s.eVar71,,,,,,,,
s.eVar72,,,,,,,,
s.eVar73,,,,,,,,
s.eVar74,,,,,,,,
s.eVar75,,,,,,,,
,,,,,,,,
s.state,,,,,,,,
s.zip,,,,,,,,
,,,,,,,,
