Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.eVar17,N - Functionality not on site,N,Y,N,Y,,
s.eVar18,Y,N,Y,N,Y,,
s.eVar19,Y,N,Y,N,Y,,
s.eVar20,,N,Y,,,,
s.eVar21,,,Y,N,Y,,
s.eVar22,,,Y,N,Y,,
s.eVar23,,N,Y,N,Y,,
s.eVar24,,N,Y,N,Y,,
s.eVar25,,N,Y,N,Y,,
s.eVar26,,,Y,N,Y,,
s.eVar27,,N,Y,N,Y,,
s.eVar28,,N,Y,N,Y,,
s.eVar29,,N,Y,N,Y,,
s.eVar30,,N,Y,N,Y,,
s.eVar31,,N,Y,N,Y,,
s.eVar32,,N,N,N,N,,
s.eVar33,,,N,,N,,
s.eVar34,,,N,,N,,
s.eVar35,,,N,,N,,
s.eVar36,,,N,,N,,
s.eVar37,,,N,,N,,
s.eVar38,,,N,,N,,
s.eVar39,,,N,,N,,
s.eVar40,Y,,Y,N,Y,,
s.eVar41,,N,Y,N,Y,,
s.eVar42,,N,Y,,Y,,
s.eVar43,,N,Y,N,Y,,
s.eVar44,,,Y,N,Y,,
s.eVar45,,,Y,N,Y,,
s.eVar46,,,Y,N,Y,,
s.eVar47,,,Y,,Y,,
s.eVar48,,,Y,N,Y,,
s.eVar49,,,Y,N,Y,,
s.eVar50,,,N,N,Y,,
s.eVar51,,N,Y,N,Y,,
s.eVar52,,,Y,N,N,,
s.eVar53,,,Y,N,Y,,
s.eVar54,,,Y,N,Y,,
s.eVar55,,,N,N,Y,,
s.eVar56,,,N,N,Y,,
s.eVar57,,,N,N,Y,,
s.eVar58,,,N,N,Y,,
s.eVar59,,,N,N,Y,,
s.eVar60,,,Y,N,Y,,
s.eVar61,,,Y,,N,,
s.eVar62,,,Y,,N,,
s.eVar63,,,Y,,Y,,
s.eVar64,,,Y,,Y,,
s.eVar65,,,Y,,Y,,
s.eVar66,,,N,,N,,
s.eVar67,,,N,,N,,
s.eVar68,,,N,,N,,
s.eVar69,,,N,,N,,
s.eVar70,,,N,,N,,
s.eVar71,,,N,,N,,
s.eVar72,,,N,,N,,
s.eVar73,,,N,,N,,
s.eVar74,,,Y,,Y,,
s.eVar75,,,Y,,Y,,
,,,,,,,
s.state,,,N,,N,,
s.zip,,,N,,N,,
,,,,,,,
