Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,
s.pageName,"s.pagename=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.pagename=""[pv:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.pagename=""[lc:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.pagename=""[sgh:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""","s.pagename=""[lc:country_identifier:language_identifier:section:subsection1:subsection2:friendly_pagename]""",,
s.channel,"s.channel=""[site section]""","s.channel=""[site section]""","s.channel=""[site section]""","s.channel=""[site section]""","s.channel=""[site section]""",,
s.server,"s.server=""[server]""","s.server=""[server]""","s.server=""[server]""","s.server=""[server]""","s.server=""[server]""",,
s.pageType,,,,,,,
s.prop1,"s.prop1=""y""
s.prop1=""n""","s.prop1=""y""
s.prop1=""n""","s.prop1=""y""
s.prop1=""n""",,"s.prop1=""y""
s.prop1=""n""",,
s.prop2,"s.prop2=""y""
s.prop2=""n""","s.prop2=""y""
s.prop2=""n""","s.prop2=""y""
s.prop2=""n""",,"s.prop2=""y""
s.prop2=""n""",,
s.prop3,,,,,,,
s.prop4,,"s.prop4=""[narrowed by]""","s.prop4=""[narrowed by]""","s.prop4=""[narrowed by]""","s.prop4=""[narrowed by]""",,
s.prop5,"s.prop5='[site subsection]""","s.prop5='[site subsection]""","s.prop5='[site subsection]""","s.prop5='[site subsection]""","s.prop5='[site subsection]""",,
s.prop6,"s.prop6=""[site sub-subsection]""","s.prop6=""[site sub-subsection]""","s.prop6=""[site sub-subsection]""","s.prop6=""[site sub-subsection]""","s.prop6=""[site sub-subsection]""",,
s.prop7,,,,,,,
s.prop8,,,,,,,
s.prop9,,,,,,,
s.prop10,,,,,,,
s.prop11,"s.prop11=""Browser""
s.prop11=""Customer""
s.prop11=""Logged In""","s.prop11=""Browser""
s.prop11=""Customer""
s.prop11=""Logged In""","s.prop11=""Browser""
s.prop11=""Customer""
s.prop11=""Logged In""","s.prop11=""Browser""
s.prop11=""Customer""
s.prop11=""Logged In""","s.prop11=""Browser""
s.prop11=""Customer""
s.prop11=""Logged In""",,
s.prop12,"s.prop12=""web""
s.prop12=""mobile""
s.prop12=""ios app""","s.prop12=""web""
s.prop12=""mobile""
s.prop12=""ios app""","s.prop12=""web""
s.prop12=""mobile""
s.prop12=""ios app""","s.prop12=""web""
s.prop12=""mobile""
s.prop12=""ios app""","s.prop12=""web""
s.prop12=""mobile""
s.prop12=""ios app""",,
s.prop13,"s.prop13=""us""
s.prop13=""ca""
s.prop13=""pr""","s.prop13=""us""
s.prop13=""ca""
s.prop13=""pr""","s.prop13=""us""
s.prop13=""ca""
s.prop13=""pr""","s.prop13=""us""
s.prop13=""ca""
s.prop13=""pr""","s.prop13=""us""
s.prop13=""ca""
s.prop13=""pr""",,
s.prop14,"s.prop14=""us""
s.prop14=""sp""","s.prop14=""us""
s.prop14=""sp""","s.prop14=""us""
s.prop14=""sp""","s.prop14=""us""
s.prop14=""sp""","s.prop14=""us""
s.prop14=""sp""",,
s.prop15,"s.prop15=""[appointment date]""","s.prop15=""[appointment date]""","s.prop15=""[appointment date]""",,"s.prop15=""[appointment date]""",,
s.prop16,"s.prop16=""[days in advance]""","s.prop16=""[days in advance]""","s.prop16=""[days in advance]""",,"s.prop16=""[days in advance]""",,
s.prop17,"s.prop17=""[appointment time]""","s.prop17=""[appointment time]""","s.prop17=""[appointment time]""",,"s.prop17=""[appointment time]""",,
s.prop18,,,,,,,
s.prop19,"s.prop19=""[friendly RSID name]""","s.prop19=""[friendly RSID name]""","s.prop19=""[friendly RSID name]""","s.prop19=""[friendly RSID name]""","s.prop19=""[friendly RSID name]""",,
s.prop20,,,,,,,
s.prop21,,,,,,,
s.prop22,,,,,,,
s.prop23,,,,,,,
s.prop24,,,,,,,
s.prop25,,,,,,,
s.prop26,,,,,,,
s.prop27,,,,,,,
s.prop28,,,,,,,
s.prop29,,,,,,,
s.prop30,,,,,,,
s.prop31,,,,,,,
s.prop32,,,,,,,
s.prop33,,,,,,,
s.prop34,,,,,,,
s.prop35,,,,,,,
s.prop36,,,,,,,
s.prop37,,,,,,,
s.prop38,,,,,,,
s.prop39,,,,,,,
s.prop40,"s.prop40=""[numeric placement]""",,"s.prop40=""[social]""",,,,
s.prop41,,,"s.prop41=""[form error]""",,"s.prop41=""50""",,
s.prop42,,,"s.prop42=""[brand]""",,,,
s.prop43,,,,,,,
s.prop44,,,,"s.prop44=""[isg step selection]""",,,
s.prop45,,,,,,,
s.prop46,,,,,,,
s.prop47,,,"s.prop47=""[tool used]""",,"s.prop47=""[tool used]""",,
s.prop48,,,,,,,
s.prop49,,,,,,,
s.prop50,,,,,,,
s.prop51,,,,,,,
