Variable,Pearle Vision,Target Optical,LensCrafters,Sunglass Hut,Sears Optical,,,,
s.eVar2,Rosetta is already passing DMA cookie information on all pages. Grab value for this eVar,Rosetta is already passing DMA cookie information on all pages. Grab value for this eVar,Rosetta is already passing DMA cookie information on all pages. Grab value for this eVar,Rosetta is already passing DMA cookie information on all pages. Grab value for this eVar,Rosetta is already passing DMA cookie information on all pages. Grab value for this eVar,,,,
s.eVar3,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,getTimeParting Plugin,,,,
s.eVar4,,,,,,,,,
s.eVar5,,,,,,,,,
s.eVar6,,,,,,,,,
s.eVar7,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,getDaysSinceLastVisit Plugin,,,,
s.eVar8,getNewRepeat Plugin,getNewRepeat Plugin,getNewRepeat Plugin,"Grandfathered In
getNewRepeat Plugin",getNewRepeat Plugin,,,,
s.eVar9,getVisitNumber Plugin,getVisitNumber Plugin,getVisitNumber Plugin,getVisitNumber Plugin,getVisitNumber Plugin,,,,
s.eVar10,getQueryParam,getQueryParam,getQueryParam,"Grandfathered In
getQueryParam",getQueryParam,,,,
s.eVar11,,,,,Follow LC Standards,,,,
s.eVar12,,,,,Follow LC Standards,,,,
s.eVar13,,,,,Follow LC Standards,,,,
s.eVar14,,,,,Follow LC Standards,,,,
s.eVar15,,,,,Follow LC Standards,,,,
s.eVar16,,,,,Follow LC Standards,,,,
s.eVar17,,,,Grandfathered In,Follow LC Standards,,,,
s.eVar18,,,,Grandfathered In,Follow LC Standards,,,,
s.eVar19,,,,,Follow LC Standards,,,,
s.eVar20,,,,,Follow LC Standards,,,,
s.eVar21,,,,,Follow LC Standards,,,,
s.eVar22,,,,Grandfathered In,Follow LC Standards,,,,
s.eVar23,,,,,Follow LC Standards,,,,
s.eVar24,,,,,Follow LC Standards,,,,
s.eVar25,,,,,Follow LC Standards,,,,
s.eVar26,,,,,Follow LC Standards,,,,
s.eVar27,,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
s.eVar28,,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
s.eVar29,,Follow SGH Standards,Follow SGH Standards,Grandfathered In,Follow LC Standards,,,,
s.eVar30,,Follow SGH Standards,,Grandfathered In,,,,,
s.eVar31,,Follow SGH Standards,,Grandfathered In,,,,,
s.eVar32,,,not enabled,Grandfathered In,not enabled,,,,
s.eVar33,,,not enabled,,not enabled,,,,
s.eVar34,,,not enabled,,not enabled,,,,
s.eVar35,,,not enabled,,not enabled,,,,
s.eVar36,,,not enabled,,not enabled,,,,
s.eVar37,,,not enabled,,not enabled,,,,
s.eVar38,,,not enabled,,not enabled,,,,
s.eVar39,,,not enabled,,not enabled,,,,
s.eVar40,,,,Grandfathered In,,,,,
s.eVar41,,,,,,,,,
s.eVar42,,,,,,,,,
s.eVar43,,,,,,,,,
s.eVar44,,,,,,,,,
s.eVar45,,,,,,,,,
s.eVar46,,,,,,,,,
s.eVar47,,,,,,,,,
s.eVar48,,,,Grandfathered In,,,,,
s.eVar49,,,,Grandfathered In,,,,,
s.eVar50,,,not enabled,Grandfathered In,,,,,
s.eVar51,,,,Grandfathered In,,,,,
s.eVar52,,,,Grandfathered In,not enabled,,,,
s.eVar53,,,,Grandfathered In,,,,,
s.eVar54,,,,Grandfathered In,,,,,
s.eVar55,,,not enabled,Grandfathered In,,,,,
s.eVar56,,,not enabled,Grandfathered In,,,,,
s.eVar57,,,not enabled,Grandfathered In,,,,,
s.eVar58,,,not enabled,Grandfathered In,,,,,
s.eVar59,,,not enabled,Grandfathered In,,,,,
s.eVar60,,,,Grandfathered In,,,,,
s.eVar61,,,,,,,,,
s.eVar62,,,,,,,,,
s.eVar63,,,,,,,,,
s.eVar64,,,,,,,,,
s.eVar65,,,,,,,,,
s.eVar66,,,not enabled,,not enabled,,,,
s.eVar67,,,not enabled,,not enabled,,,,
s.eVar68,,,not enabled,,not enabled,,,,
s.eVar69,,,not enabled,,not enabled,,,,
s.eVar70,,,not enabled,,not enabled,,,,
s.eVar71,,,not enabled,,not enabled,,,,
s.eVar72,,,not enabled,,not enabled,,,,
s.eVar73,,,not enabled,,not enabled,,,,
s.eVar74,,,,,,,,,
s.eVar75,,,,,,,,,
,,,,,,,,,
s.state,,,,,,,,,
s.zip,,,,,,,,,
,,,,,,,,,
