SearsOptical.com Tag Specs,3/27/15,Site_Events,Global Variables,,,,,,,,,,,,,,,Page/Event Specific Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Page - Element,Request Type,,page[level_1],page[level_2],page[level_3],page[level_4],page[level_n],layout_type,"banner_impressions[n][""banner_id""]","banner_impressions[n][""banner_size""]","banner_clicked[""banner_id""]","banner_clicked[""banner_size""]",authentication_status,country,language_code,products_viewed[n],favorite_products[n],zip_code,brand,customer_lead_id,customer_lead_level,customer_lead_type,"exams[n][""exam_id""]","exams[n][""exam_date""]","exams[n][""exam_time""]","exams[n][stores[n][""avail_exam""]]","exams[n][stores[n][""store_id""]","exams[n][stores[n][""online_scheduling""]]","exams[n][stores[n][""address""]]","exams[n][stores[n][""city""]]","exams[n][stores[n][""state""]]","exams[n][stores[n][""zip""]]",filters.gender,filters.brand,filters.type,filters.price_range.min_price,filters.price_range.max_price,filters.color,filters.face_shape,filters.frame_shape,filters.fit,filters.materials,filters.special_offers,keyword,"products[n][""upc""]","products[n][""price""]","products[n][""brand""]","products[n][""style""]","products[n][""model""]",products_viewed[n],preferred_store,registration_status,resutls_count,"stores[n][""avail_exam""]","stores[n][""store_id""]","stores[n][""online_scheduling""]","stores[n][""address""]","stores[n][""city""]","stores[n][""state""]","stores[n][""zip""]","stores[n][""miles_from_customer""]","stores[n][""result_position""]","stores[n][""zip_method""]",
Eye Care > Lenses > materials and enhancements,Page Load,,eye care,lenses,lens materials and enhancements,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Lenses > polarized,Page Load,,eye care,lenses,polarized rx,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Lenses > tech view,Page Load,,eye care,lenses,tech view,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > benefits,Page Load,,eye care,insurance,insurance benefits,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > AAA members,Page Load,,eye care,insurance,aaa members,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > AARP members,Page Load,,eye care,insurance,aarp members,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eye Care > Insurance Coverage > eyewear protection plan,Page Load,,eye care,insurance,eyewear protection plan,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EyeCare > Your Health,Page Load,,eye care,your health,eye health,,,<desktop|mobile>,<if banner exists>,<if banner exists>,<if banner click exists>,<if banner click exists>,<logged in|logged out>,<us|ca|...>,<language code>,[{products}],[{products}],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section:Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
